method,bc_type,sigma,equation_type,n,error_vs_sparse,is_compact,pass,note
FA,dirichlet,0.0,Poisson,33,1.2434497875801753e-14,False,True,same_discrete
FA,dirichlet,0.0,Poisson,65,1.9095836023552692e-14,False,True,same_discrete
CR,dirichlet,0.0,Poisson,33,8.881784197001252e-15,False,True,same_discrete
CR,dirichlet,0.0,Poisson,65,1.354472090042691e-14,False,True,same_discrete
FACR,dirichlet,0.0,Poisson,33,8.215650382226158e-15,False,True,same_discrete
FACR,dirichlet,0.0,Poisson,65,6.994405055138486e-15,False,True,same_discrete
FA,dirichlet,10.0,modified_H,33,7.327471962526033e-15,False,True,same_discrete
FA,dirichlet,10.0,modified_H,65,1.1879386363489175e-14,False,True,same_discrete
CR,dirichlet,10.0,modified_H,33,3.885780586188048e-15,False,True,same_discrete
CR,dirichlet,10.0,modified_H,65,1.0658141036401503e-14,False,True,same_discrete
FACR,dirichlet,10.0,modified_H,33,4.6629367034256575e-15,False,True,same_discrete
FACR,dirichlet,10.0,modified_H,65,5.773159728050814e-15,False,True,same_discrete
FA,dirichlet,-5.0,true_H,33,1.354472090042691e-14,False,True,same_discrete
FA,dirichlet,-5.0,true_H,65,1.6209256159527285e-14,False,True,same_discrete
CR,dirichlet,-5.0,true_H,33,6.8833827526759706e-15,False,True,same_discrete
CR,dirichlet,-5.0,true_H,65,2.3869795029440866e-14,False,True,same_discrete
FACR,dirichlet,-5.0,true_H,33,5.10702591327572e-15,False,True,same_discrete
FACR,dirichlet,-5.0,true_H,65,1.27675647831893e-14,False,True,same_discrete
FFT9,dirichlet,10.0,modified_H,33,0.0005333966186553685,True,True,compact_diff
FFT9,dirichlet,10.0,modified_H,65,0.00013329588893673527,True,True,compact_diff
FFT9,dirichlet,-5.0,true_H,33,0.0010768151564127804,True,True,compact_diff
FFT9,dirichlet,-5.0,true_H,65,0.000268986759285994,True,True,compact_diff
FA,neumann,10.0,modified_H,33,8.881784197001252e-15,False,True,same_discrete
FA,neumann,10.0,modified_H,65,1.2545520178264269e-14,False,True,same_discrete
CR,neumann,10.0,modified_H,33,5.995204332975845e-15,False,True,same_discrete
CR,neumann,10.0,modified_H,65,1.1324274851176597e-14,False,True,same_discrete
FA,"('N', 'D')",10.0,modified_H,33,6.994405055138486e-15,False,True,same_discrete
FA,"('N', 'D')",10.0,modified_H,65,1.0880185641326534e-14,False,True,same_discrete
