n,N,h,sigma,equation_type,lambda_min,lambda_max,d_min_abs,d_max_abs,nearest_p,nearest_q,nearest_lambda,spectral_indicator,dense_cond2,relative_difference
17,15,0.0625,-50,true_H,19.67587286709204,2028.324127132908,1.1883842122327906,1978.324127132908,1,2,48.81161578776721,1664.7176113320643,1664.7176113320586,3.41459827623999e-15
17,15,0.0625,-10,true_H,19.67587286709204,2028.324127132908,9.675872867092039,2018.324127132908,1,1,19.67587286709204,208.59349382289784,208.5934938228982,1.7713027181420767e-15
17,15,0.0625,-5,true_H,19.67587286709204,2028.324127132908,14.675872867092039,2023.324127132908,1,1,19.67587286709204,137.86737902791748,137.86737902791683,4.741508263292104e-15
17,15,0.0625,-1,true_H,19.67587286709204,2028.324127132908,18.67587286709204,2027.324127132908,1,1,19.67587286709204,108.55311243337759,108.55311243337785,2.3564076528033687e-15
17,15,0.0625,1,modified_H,19.67587286709204,2028.324127132908,20.67587286709204,2029.324127132908,1,1,19.67587286709204,98.14938117378367,98.14938117378385,1.8822442799768895e-15
17,15,0.0625,10,modified_H,19.67587286709204,2028.324127132908,29.67587286709204,2038.324127132908,1,1,19.67587286709204,68.68624003957208,68.6862400395721,2.0689521958131244e-16
17,15,0.0625,100,modified_H,19.67587286709204,2028.324127132908,119.67587286709204,2128.324127132908,1,1,19.67587286709204,17.784070223549172,17.784070223549175,1.9976943602573586e-16
17,15,0.0625,1000,modified_H,19.67587286709204,2028.324127132908,1019.675872867092,3028.324127132908,1,1,19.67587286709204,2.9698889693427413,2.9698889693427457,1.4953057654150022e-15
33,31,0.03125,-50,true_H,19.72335955068138,8172.276640449318,0.7865744904752319,8122.276640449318,1,2,49.21342550952477,10326.137878615931,10326.137878618938,2.911823877818918e-13
33,31,0.03125,-10,true_H,19.72335955068138,8172.276640449318,9.72335955068138,8162.276640449318,1,1,19.72335955068138,839.4502535779759,839.4502535779587,2.0449946167500645e-14
33,31,0.03125,-5,true_H,19.72335955068138,8172.276640449318,14.72335955068138,8167.276640449318,1,1,19.72335955068138,554.7155601502203,554.715560150208,2.2134187962223016e-14
33,31,0.03125,-1,true_H,19.72335955068138,8172.276640449318,18.72335955068138,8171.276640449318,1,1,19.72335955068138,436.4214989479251,436.42149894792004,1.1592151832134265e-14
33,31,0.03125,1,modified_H,19.72335955068138,8172.276640449318,20.72335955068138,8173.276640449318,1,1,19.72335955068138,394.3992102468049,394.399210246804,2.306025666744596e-15
33,31,0.03125,10,modified_H,19.72335955068138,8172.276640449318,29.72335955068138,8182.276640449318,1,1,19.72335955068138,275.2810168210527,275.281016821055,8.46618557358828e-15
33,31,0.03125,100,modified_H,19.72335955068138,8172.276640449318,119.72335955068138,8272.276640449318,1,1,19.72335955068138,69.09492576465406,69.09492576465408,2.0567146657926727e-16
33,31,0.03125,1000,modified_H,19.72335955068138,8172.276640449318,1019.7233595506814,9172.276640449318,1,1,19.72335955068138,8.994867632031966,8.994867632031962,3.9497120181611106e-16
